concept_id,concept_code,concept_name,vocabulary_id,category,cluster
37209321,15700000000000000,Bilateral rheumatoid arthritis of feet,SNOMED,jia,general_jia
37209323,15700000000000000,Bilateral rheumatoid arthritis of hands,SNOMED,jia,general_jia
37209322,15700000000000000,Bilateral rheumatoid arthritis of knees,SNOMED,jia,general_jia
4257971,410793008,Chronic arthritis of juvenile onset,SNOMED,jia,general_jia
4114444,201791009,Flare of rheumatoid arthritis,SNOMED,jia,general_jia
4331942,431403001,Human leukocyte antigen B27 negative arthropathy,SNOMED,jia,general_jia
4079731,239796000,Juvenile chronic arthritis,SNOMED,jia,general_jia
4259507,410502007,Juvenile idiopathic arthritis,SNOMED,jia,general_jia
4257972,410802003,Juvenile idiopathic arthritis, undifferentiated arthritis,SNOMED,jia,general_jia
4253901,410795001,Juvenile rheumatoid arthritis,SNOMED,jia,general_jia
40400233,201808003,Juvenile rheumatoid arthritis,SNOMED,jia,general_jia
40439641,239801005,Juvenile rheumatoid arthritis,SNOMED,jia,general_jia
4115054,201800005,Juvenile rheumatoid arthritis NOS,SNOMED,jia,general_jia
37209479,16000000000000000,Juvenile rheumatoid arthritis of bilateral knees,SNOMED,jia,general_jia
37204148,16200000000000000,Juvenile rheumatoid arthritis of left knee,SNOMED,jia,general_jia
37204149,16200000000000000,Juvenile rheumatoid arthritis of right knee,SNOMED,jia,general_jia
4116448,201801009,Other juvenile arthritis,SNOMED,jia,general_jia
80809,69896004,Rheumatoid arthritis,SNOMED,jia,general_jia
40320302,156471009,Rheumatoid arthritis,SNOMED,jia,general_jia
40400183,201763001,Rheumatoid arthritis and other inflammatory polyarthropathies,SNOMED,jia,general_jia
4146248,267887009,Rheumatoid arthritis and other inflammatory polyarthropathies,SNOMED,jia,general_jia
4117687,287008006,Rheumatoid arthritis - ankle and/or foot,SNOMED,jia,general_jia
40320310,156479006,Rheumatoid arthritis - ankle/foot,SNOMED,jia,general_jia
40320307,156476004,Rheumatoid arthritis - hand joint,SNOMED,jia,general_jia
4115161,287007001,Rheumatoid arthritis - hand joint,SNOMED,jia,general_jia
37117421,143000000000000,Rheumatoid arthritis in remission,SNOMED,jia,general_jia
40400212,201790005,Rheumatoid arthritis - multiple joint,SNOMED,jia,general_jia
40320303,156472002,Rheumatoid arthritis - multiple joint,SNOMED,jia,general_jia
4117688,287010008,Rheumatoid arthritis NOS,SNOMED,jia,general_jia
40320313,156481008,Rheumatoid arthritis NOS,SNOMED,jia,general_jia
4116149,201768005,Rheumatoid arthritis of acromioclavicular joint,SNOMED,jia,general_jia
4116445,201779000,Rheumatoid arthritis of ankle,SNOMED,jia,general_jia
36687005,15700000000000000,Rheumatoid arthritis of bilateral ankles,SNOMED,jia,general_jia
36687002,15700000000000000,Rheumatoid arthritis of bilateral elbows,SNOMED,jia,general_jia
36687003,15700000000000000,Rheumatoid arthritis of bilateral hips,SNOMED,jia,general_jia
36686999,15700000000000000,Rheumatoid arthritis of bilateral temporomandibular joints,SNOMED,jia,general_jia
36687006,15700000000000000,Rheumatoid arthritis of bilateral wrists,SNOMED,jia,general_jia
4114440,201774005,Rheumatoid arthritis of distal interphalangeal joint of finger,SNOMED,jia,general_jia
4115050,201770001,Rheumatoid arthritis of distal radioulnar joint,SNOMED,jia,general_jia
4116440,201769002,Rheumatoid arthritis of elbow,SNOMED,jia,general_jia
40320305,156474001,Rheumatoid arthritis of elbow,SNOMED,jia,general_jia
4114441,201783000,Rheumatoid arthritis of first metatarsophalangeal joint,SNOMED,jia,general_jia
4179378,429192004,Rheumatoid arthritis of foot,SNOMED,jia,general_jia
40320308,156477008,Rheumatoid arthritis of hip,SNOMED,jia,general_jia
4116150,201775006,Rheumatoid arthritis of hip,SNOMED,jia,general_jia
4114442,201785007,Rheumatoid arthritis of interphalangeal joint of toe,SNOMED,jia,general_jia
40320309,156478003,Rheumatoid arthritis of knee,SNOMED,jia,general_jia
4116151,201777003,Rheumatoid arthritis of knee,SNOMED,jia,general_jia
36685017,1070000000000000,Rheumatoid arthritis of left ankle,SNOMED,jia,general_jia
36685018,1070000000000000,Rheumatoid arthritis of left elbow,SNOMED,jia,general_jia
36685019,1070000000000000,Rheumatoid arthritis of left foot,SNOMED,jia,general_jia
42534834,1070000000000000,Rheumatoid arthritis of left hand,SNOMED,jia,general_jia
42534835,1070000000000000,Rheumatoid arthritis of left hip,SNOMED,jia,general_jia
37108590,1070000000000000,Rheumatoid arthritis of left knee,SNOMED,jia,general_jia
35609009,1070000000000000,Rheumatoid arthritis of left shoulder,SNOMED,jia,general_jia
36687001,15700000000000000,Rheumatoid arthritis of left temporomandibular joint,SNOMED,jia,general_jia
36685020,1070000000000000,Rheumatoid arthritis of left wrist,SNOMED,jia,general_jia
4116153,201784006,Rheumatoid arthritis of lesser metatarsophalangeal joint,SNOMED,jia,general_jia
4116442,201772009,Rheumatoid arthritis of metacarpophalangeal joint,SNOMED,jia,general_jia
4117686,287006005,Rheumatoid arthritis of multiple joints,SNOMED,jia,general_jia
4115052,201782005,Rheumatoid arthritis of other tarsal joint,SNOMED,jia,general_jia
4116443,201773004,Rheumatoid arthritis of proximal interphalangeal joint of finger,SNOMED,jia,general_jia
36685021,1070000000000000,Rheumatoid arthritis of right ankle,SNOMED,jia,general_jia
36685022,1070000000000000,Rheumatoid arthritis of right elbow,SNOMED,jia,general_jia
36685023,1070000000000000,Rheumatoid arthritis of right foot,SNOMED,jia,general_jia
42534836,1070000000000000,Rheumatoid arthritis of right hand,SNOMED,jia,general_jia
42534837,1070000000000000,Rheumatoid arthritis of right hip,SNOMED,jia,general_jia
37108591,1070000000000000,Rheumatoid arthritis of right knee,SNOMED,jia,general_jia
