concept_id,concept_name,concept_code,vocabulary_id
41364231,"10 ML Insulin, Aspart, Human 0.1 UNT/ML Injectable Solution [Novorapid] Box of 5 by Gerke",OMOP2562193,RxNorm Extension
2057791,metformin / pioglitazone Oral Tablet [PIOMETA],OMOP4958716,RxNorm Extension
21130177,Metformin 850 MG Oral Tablet Box of 56 by Relonchem,OMOP351276,RxNorm Extension
36065601,dapagliflozin 10 MG Oral Tablet [Forxiga] by DE,OMOP4991940,RxNorm Extension
40874784,Metformin 850 MG Extended Release Oral Tablet [Metnit],OMOP2072746,RxNorm Extension
35744674,Metformin 850 MG Extended Release Oral Tablet by DE,OMOP2746135,RxNorm Extension
41113836,Carbutamide Oral Tablet [Nadisan],OMOP2311798,RxNorm Extension
40929061,"Regular Insulin, Human 10 UNT/ML Injectable Solution Box of 1",OMOP2127023,RxNorm Extension
36922311,"3 ML insulin isophane 70 UNT/ML / insulin, regular, human 30 UNT/ML Injectable Suspension [Humulin] Box of 5 by Sigma",OMOP5209518,RxNorm Extension
40905696,Metformin 500 MG Extended Release Oral Tablet [Metfogamma] Box of 180,OMOP2103658,RxNorm Extension
41062819,"Regular Insulin, Human 100 UNT/ML Prefilled Syringe [Berlinsulin]",OMOP2260781,RxNorm Extension
36257783,"Insulin, Aspart Protamine, Human 70 UNT/ML / Insulin, Aspart, Human 30 UNT/ML Pen Injector [Novomix]",OMOP3108658,RxNorm Extension
44070011,Glyburide Oral Tablet [Pms-Glyburide],OMOP1064642,RxNorm Extension
40875967,"Regular Insulin, Human 40 UNT/ML Injectable Solution [Huminsulin] Box of 1",OMOP2073929,RxNorm Extension
40994580,Acarbose 100 MG Oral Tablet Box of 252,OMOP2192542,RxNorm Extension
43785121,glimepiride 3 MG Oral Tablet [Glimepirid Abz],OMOP676534,RxNorm Extension
2057725,metformin 850 MG / pioglitazone 15 MG Oral Tablet [PIOMINMET],OMOP4958644,RxNorm Extension
41299964,"insulin, isophane / Regular Insulin, Human Prefilled Syringe [Ctraphan]",OMOP2497926,RxNorm Extension
43183807,glimepiride 4 MG Oral Tablet [GLIMEPIRIDE TEVA],OMOP491695,RxNorm Extension
2055803,pioglitazone Oral Tablet [HANTOS],OMOP4956633,RxNorm Extension
43200680,Carbutamide 500 MG Oral Tablet [GLUCIDORAL] Box of 30 by Servier,OMOP445577,RxNorm Extension
35864200,repaglinide Oral Tablet [Nuohelong],OMOP5021617,RxNorm Extension
2920845,linagliptin 2.5 MG / metformin 850 MG Oral Tablet Box of 120,OMOP5137668,RxNorm Extension
41349801,"3 ML insulin, isophane 50 UNT/ML / Regular Insulin, Human 50 UNT/ML Prefilled Syringe [Insuman] Box of 20 by Sanofi",OMOP2547763,RxNorm Extension
